nom_bassin_versant,latitude_centroide,longitude_centroide,quantile_prelevement_national,score_secheresse,classe_secheresse,classe_prelevement,classe_bivariee,volume_moyen_preleve_m3_an,nb_communes,rang_secheresse_national
Canal de Roubaix de l'écluse numéro 6 Cottigny à l'écluse numéro 5 Noir Bonnet,50.6794,3.1305,8.13,0.0,faible/nulle,faible,0-0,0.0,0,0.0
Scarpe Canalisée de l'écluse numéro 6 Thun au confluent de la Grande Traitoire aval,50.4115,3.3318,88.79,3.78,moderee,fort,1-2,8896146.8,24,89.6
La Boutonne du confluent de la Trézence au confluent de la Charente,45.9488,-0.7629,63.66,0.0,faible/nulle,modere,0-1,790711.4,6,0.0
Canal de la Deûle de l'écluse Don à l'écluse Grand Carré,50.5697,2.9617,93.34,0.0,faible/nulle,fort,0-2,48614662.4,32,0.0
Sambre Canalisée de l'écluse numéro 3 Saseignies à l'écluse numéro 4 Bairlemont,50.1269,3.9958,87.96,6.06,moderee,fort,1-2,7686287.0,30,93.2
Dérivation de la Scarpe du Canal de jonction au bras de la Deûle et la Deûle du bras de la Deûle au Canal d'Aire,50.4185,2.8754,91.84,9.65,forte,fort,2-2,24912097.4,57,96.9
Sambre Canalisée de l'écluse numéro 1 Les Etoquies à l'écluse numéro 2 Hachette,50.0857,3.8914,82.42,0.0,faible/nulle,fort,0-2,3415765.4,19,0.0
Canal du Nord 1ère section de l'écluse numéro 9 Moislains à l'écluse numéro 10 Allaines,49.9701,2.9535,8.13,0.0,faible/nulle,faible,0-0,0.0,0,0.0
La Truyère du confluent de l'Alleuze au confluent du Bès,44.938,3.0963,8.13,0.0,faible/nulle,faible,0-0,0.0,0,0.0
Canal de St-Quentin de l'écluse numéro 16 Moulin Lafosse à l'écluse numéro 15 Honnecourt,50.0367,3.2005,8.13,0.0,faible/nulle,faible,0-0,0.0,0,0.0
Le Ton de sa source au confluent de l'Oise (exclu),49.84,4.21,78.4,5.02,moderee,fort,1-2,2281980.4,26,91.6
LE COUESNON DE LA TAMOUT (C) A LOISANCE (NC),48.4323,-1.5868,47.89,0.0,faible/nulle,modere,0-1,293191.2,5,0.0
LE GOUESSANT DE SA SOURCE AU RAU DU GAST (C),48.4085,-2.4712,33.25,0.0,faible/nulle,faible,0-0,102236.8,6,0.0
L'Oise du confluent du Gland (exclu) au confluent du Ton (exclu),49.9418,4.0224,16.35,0.0,faible/nulle,faible,0-0,55.6,9,0.0
L'Odon du confluent du ruisseau de Sabley (exclu) au confluent de l'Orne (exclu),49.1619,-0.4355,23.8,0.0,faible/nulle,faible,0-0,34656.4,7,0.0
Les bassins côtiers compris entre l'embouchure de l'Arques (exclu) et l'embouchure de la Scie (exclu),49.9204,1.0572,8.13,0.0,faible/nulle,faible,0-0,0.0,0,0.0
Le Gave de Pau du confluent de l'Ouzom au confluent du Béez,43.1734,-0.2484,8.13,0.0,faible/nulle,faible,0-0,0.0,0,0.0
L'HYERE DU RAU DE L'ETANG DE FOLLEZOU (C) A L'ANCIEN CANAL DE NANTES A BREST (NC),48.3133,-3.4916,76.25,0.0,faible/nulle,fort,0-2,1876297.6,9,0.0
Le Bailly Bec de sa source au confluent de l'Eaulne (exclu),49.8974,1.358,8.13,4.38,moderee,faible,1-0,0.0,3,90.6
Canal de St-Quentin de l'écluse numéro 19 Pascal à l'écluse numéro 20 Omissy,49.8851,3.3168,8.13,0.0,faible/nulle,faible,0-0,0.0,0,0.0
Les bassins côtiers compris entre l'embouchure de la Saâne (exclu) et l'embouchure du Dun (exclu),49.8941,0.9071,8.13,0.0,faible/nulle,faible,0-0,0.0,0,0.0
La Moselle entre la Canner et la Boler.,49.4129,6.2835,8.13,0.0,faible/nulle,faible,0-0,0.0,0,0.0
Canal de St-Quentin de l'écluse numéro 21 Moulin Brûlé à l'écluse numéro 22 St-Quentin et Fossé des Fontaines Ferrées,49.8559,3.3102,8.13,0.0,faible/nulle,faible,0-0,0.0,0,0.0
l'Ancre et Canal de la Somme de l'écluse numéro 14 Corbie à l'écluse numéro 15 Daours,49.9983,2.649,86.07,4.02,moderee,fort,1-2,5337952.4,60,90.0
La Nive de Béherobie du confluent du Laurhibar au confluent de la Nive d'Arnéguy,43.1706,-1.2467,8.13,0.0,faible/nulle,faible,0-0,0.0,0,0.0
L'ELEZ & SES AFFLUENTS,48.3338,-3.808,94.01,0.0,faible/nulle,fort,0-2,65344445.4,6,0.0
La Seine du confluent de la Morelle (exclu) au confluent du ruisseau de Barneville (exclu),49.4232,0.1997,31.69,0.0,faible/nulle,faible,0-0,87650.4,1,0.0
Côtiers du canal de la Robine inclus à l'Aude,43.1264,3.0131,91.57,6.38,forte,fort,2-2,21715711.0,4,93.5
La Serre de sa source au confluent du Vilpion (exclu),49.7219,4.0631,63.86,0.0,faible/nulle,modere,0-1,802685.8,35,0.0
Les bassins côtiers compris entre l'embouchure de la Saire (exclu) et l'embouchure de la Divette (exclu),49.6656,-1.3773,67.28,0.0,faible/nulle,fort,0-2,1004752.2,15,0.0
Côtiers du ruisseau de Pietracorbara au Granaggilo inclus,42.9432,9.4349,50.62,0.0,faible/nulle,modere,0-1,357386.4,6,0.0
La Serre du confluent de la Souche (exclu) au confluent de l'Oise (exclu),49.725,3.5694,81.73,3.62,moderee,fort,1-2,3162697.8,38,89.3
La Varenne de sa source au confluent de l'Arques (exclu),49.7113,1.2601,74.07,0.0,faible/nulle,fort,0-2,1585532.2,34,0.0
La Divette du confluent de la Néretz (exclu) au confluent du ruisseau de Houlbecq (inclus),49.5837,-1.7091,51.33,0.0,faible/nulle,modere,0-1,373815.2,2,0.0
Les bassins côtiers compris entre l'embouchure du Valmont (exclu) et le bassin de la Seine (exclu),49.6645,0.2802,86.3,0.0,faible/nulle,fort,0-2,5530976.2,33,0.0
Les bassins côtiers compris entre l'embouchure de la Divette (exclu) et l'embouchure de la Diélette (inclus),49.6387,-1.8245,82.68,0.0,faible/nulle,fort,0-2,3496146.6,9,0.0
La Seulles du confluent de la Mue (exclu) à l'embouchure,49.3159,-0.4752,8.13,0.0,faible/nulle,faible,0-0,0.0,0,0.0
LA DOUFFINE & SES AFFLUENTS,48.2937,-3.9915,47.37,0.0,faible/nulle,modere,0-1,282237.0,4,0.0
La Chiers de la Thonne au Loison.,49.5194,5.3224,19.29,0.0,faible/nulle,faible,0-0,12348.6,1,0.0
La Lézarde du confluent du ruisseau de Saint Laurent (exclu) au confluent du Canal de Tancarville,49.5044,0.2,8.13,0.0,faible/nulle,faible,0-0,0.0,0,0.0
L'Aisne du confluent du ru de Retz (exclu) au confluent du ru d'Hozien (exclu),49.4001,3.1563,62.5,0.0,faible/nulle,modere,0-1,728303.4,3,0.0
La Douve du confluent de la Scye (exclu) au confluent de la Saudre (exclu),49.4344,-1.5478,8.13,0.0,faible/nulle,faible,0-0,0.0,3,0.0
L'Oise du confluent de l'Aronde (exclu) au confluent de l'Aisne (exclu),49.437,2.847,8.13,0.0,faible/nulle,faible,0-0,0.0,0,0.0
